Ticker,Final_Grade,Floor Tier,Status,Close Price,FCF_Yield,ROA,EV_EBITDA
MCY,89.9,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),102.91,0.1947210724765977,0.0757,3.62
GNTX,88.4,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),22.86,0.07648278806978,0.11057,7.437
CRI,88.3,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),32.41,0.20279040828606687,0.0694,5.015
APTV,86.7,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),45.03,0.16725442765013787,0.067150004,4.415
CBT,85.1,🟢 Strong Green (< -60),Live Strong Dot (Today),81.19,0.06160659017505915,0.088970006,7.4
APOG,84.3,🟢 Strong Green (< -60),Live Strong Dot (Today),38.19,0.1286601379385444,0.06237,6.446
PHIN,80.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),67.82,0.10740879306698328,0.05235,6.537
PNR,76.8,🟢 Strong Green (< -60),Live Strong Dot (Today),60.02,0.05828388170413098,0.08663,10.848
PRKS,75.9,🟢 Strong Green (< -60),Live Strong Dot (Today),40.61,0.052700710255839334,0.078449994,8.268
BYD,75.9,🟢 Strong Green (< -60),Live Strong Dot (Today),77.79,0.0502420881565105,0.07824,7.248
SSD,75.8,🟢 Strong Green (< -60),Live Strong Dot (Today),178.08,0.06116096833219876,0.098129995,12.555
LOW,70.0,🟢 Strong Green (< -60),Live Strong Dot (Today),201.9,0.04074421805161872,0.12519,11.861
MWA,68.7,🟢 Strong Green (< -60),Live Strong Dot (Today),23.9,0.03503038101658393,0.10621,10.193
GHC,68.7,🟢 Strong Green (< -60),Live Strong Dot (Today),1122.91,0.05629025702588562,0.04394,7.557
CNM,68.4,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),43.77,0.051442744887062006,0.07221,11.494
HST,68.4,🟢 Strong Green (< -60),Live Strong Dot (Today),21.99,0.11077902851126743,0.0433,11.251
WYNN,67.4,🟢 Strong Green (< -60),Live Strong Dot (Today),91.56,0.05050639502534562,0.05728,10.388
RL,67.2,🟢 Strong Green (< -60),Live Strong Dot (Today),344.2,0.042913916537752554,0.11005,13.251
HAYW,67.1,🟢 Strong Green (< -60),Live Strong Dot (Today),13.7,0.05647078277708244,0.05047,11.19
GGG,65.8,🟢 Strong Green (< -60),Live Strong Dot (Today),77.88,0.0425453757412209,0.12705,16.493
SKYW,64.6,🟢 Strong Green (< -60),Live Strong Dot (Today),96.24,0.03883888687439898,0.050380003,5.725
DAL,64.5,🟢 Strong Green (< -60),Live Strong Dot (Today),78.75,0.05440227768256423,0.04019,8.995
WMS,61.9,🟢 Strong Green (< -60),Live Strong Dot (Today),134.83,0.03218889596495624,0.10972,12.277
L,60.3,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),108.94,0.05610079258943716,0.01909,7.948
FELE,59.4,🟢 Strong Green (< -60),Live Strong Dot (Today),99.27,0.034043913537248824,0.08597,12.822
TKR,59.1,🟢 Strong Green (< -60),Live Strong Dot (Today),121.09,0.04161674361779716,0.05449,12.4
BLDR,58.7,🟢 Strong Green (< -60),Live Strong Dot (Today),64.18,0.06727599566379959,0.02389,11.697
RPM,58.4,🟢 Strong Green (< -60),Live Strong Dot (Today),103.43,0.03636878202929086,0.07626,13.216
ZWS,58.0,🟢 Strong Green (< -60),Live Strong Dot (Today),47.62,0.04085296418096054,0.08741,17.08
FSS,56.2,🟢 Strong Green (< -60),Live Strong Dot (Today),117.16,0.027228036607575095,0.117510006,14.906
SCHL,55.1,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),38.39,0.07852989675815415,0.0138,12.593
TXT,54.9,🟢 Strong Green (< -60),Live Strong Dot (Today),79.37,0.033167036628177465,0.045479998,9.764
MAA,53.0,🟢 Strong Green (< -60),Live Strong Dot (Today),128.56,0.06023167186143755,0.03129,16.747
CSR,52.5,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),52.78,0.11460842010443668,0.0073900004,14.946
PKG,50.1,🟢 Strong Green (< -60),Live Strong Dot (Today),234.57,0.02071552110612716,0.082779996,12.245
CUBE,50.0,🟢 Strong Green (< -60),Live Strong Dot (Today),39.75,0.05401784007180766,0.04282,17.682
PSA,49.9,🟢 Strong Green (< -60),Live Strong Dot (Today),305.73,0.04088431836604739,0.06985,19.579
AIT,49.9,🟢 Strong Green (< -60),Live Strong Dot (Today),322.46,0.030661340576841455,0.11102,19.632
EXP,49.6,🟢 Strong Green (< -60),Live Strong Dot (Today),193.58,0.004256938214573851,0.09233,10.687
PFGC,49.1,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),99.32,0.04583518369651738,0.030199999,13.715
UFPI,48.6,🟢 Strong Green (< -60),Live Strong Dot (Today),83.2,0.025687580449102618,0.04756,9.11
POWL,48.0,🟢 Strong Green (< -60),Live Strong Dot (Today),175.16,0.029836683328891177,0.116210006,23.627
STRL,47.5,🟢 Strong Green (< -60),Live Strong Dot (Today),460.03,0.024828981135848555,0.14554,19.472
WDFC,45.2,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),212.08,0.02429384732592935,0.1542,22.926
PATK,44.9,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),82.75,0.012499336622529587,0.052750003,9.812
EXR,43.6,🟢 Strong Green (< -60),Live Strong Dot (Today),140.98,0.048190735983216146,0.03358,19.129
Q,43.0,🟢 Strong Green (< -60),Live Strong Dot (Today),118.47,0.031158037046707904,0.053049996,18.66
TEX,40.3,🟢 Strong Green (< -60),Live Strong Dot (Today),62.76,0.03237625251781159,0.030079998,14.624
ESE,39.6,🟢 Strong Green (< -60),Live Strong Dot (Today),273.87,0.032970865099838584,0.051090002,22.64
HWM,37.8,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),252.96,0.0114539054106004,0.12815,37.574
BCC,36.8,🟢 Strong Green (< -60),Live Strong Dot (Today),77.12,0.01610414593445736,0.02859,9.034
SPXC,36.4,🟢 Strong Green (< -60),Live Strong Dot (Today),193.92,0.02409486455470263,0.06755,19.41
MKSI,35.9,🟢 Strong Green (< -60),Live Strong Dot (Today),249.65,0.028457016301588086,0.050229996,19.463
GNRC,35.5,🟢 Strong Green (< -60),Live Strong Dot (Today),183.02,0.026766116059427844,0.04721,18.555
