Ticker,Composite_Grade,Valuation_Rank,Quality_Rank,Floor Tier,Status,Close Price,FCF_Yield,EV_EBITDA,NetDebt_EBITDA,Op_Margin,ROA,Sector
HRB,92.6,90.5,94.7,🟢 Strong Green (< -60),Live Strong Dot (Today),45.74,0.11081527808060188,6.583,1.11,0.3291,0.17401,Consumer Cyclical
PRG,85.2,98.4,72.1,🟢 Strong Green (< -60),Live Strong Dot (Today),37.38,1.0315731096118477,5.068,1.77,0.16605,0.15037,Industrials
CROX,83.2,86.3,80.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),112.48,0.0998782342088922,7.409,1.64,0.24221,0.11993,Consumer Cyclical
VRRM,82.4,87.9,76.8,🟢 Strong Green (< -60),Live Strong Dot (Today),3.63,0.07845126750596704,4.421,2.88,0.27168,0.09162,Technology
TME,80.6,99.5,61.6,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),7.98,0.539866243267926,0.215,0.0,0.29184,0.055960003,Communication Services
STZ,79.5,81.1,77.9,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),122.45,0.10353308179225655,9.282,3.02,0.35931,0.08574,Consumer Defensive
LULU,78.4,91.6,65.3,🟢 Strong Green (< -60),Live Strong Dot (Today),100.3,0.10343060990352142,4.973,0.32,0.13212,0.14401,Consumer Cyclical
DECK,78.2,82.6,73.7,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),81.27,0.07945053585922987,7.428,0.0,0.15233,0.20319,Consumer Cyclical
KTB,76.6,85.3,67.9,🟢 Strong Green (< -60),Live Strong Dot (Today),67.42,0.1195719844655343,8.116,2.01,0.15482001,0.12722999,Consumer Cyclical
MAS,76.0,65.8,86.3,🟢 Strong Green (< -60),Live Strong Dot (Today),69.41,0.06554682681335533,11.193,1.95,0.23645,0.15857,Industrials
BKNG,75.8,55.3,96.3,🟢 Strong Green (< -60),Live Strong Dot (Today),175.35,0.05863838328922346,13.009,0.36,0.34412,0.2038,Consumer Cyclical
YELP,75.6,95.8,55.3,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),21.28,0.23953289273283643,5.881,0.14,0.12666,0.114259996,Communication Services
GMED,69.8,66.3,73.2,🟢 Strong Green (< -60),Live Strong Dot (Today),75.77,0.054476899913886774,9.591,0.0,0.24755,0.08736,Healthcare
PNR,69.5,69.5,69.5,🟢 Strong Green (< -60),Live Strong Dot (Today),56.18,0.06226768550897766,10.283,1.62,0.2344,0.08663,Industrials
AOS,69.2,67.4,71.1,🟢 Strong Green (< -60),Live Strong Dot (Today),57.38,0.062142283067183224,10.584,0.63,0.18929,0.1254,Industrials
CBT,67.4,78.9,55.8,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),79.68,0.06193460956153529,7.254,1.41,0.14257,0.088970006,Basic Materials
TILE,64.4,64.7,64.2,🟢 Strong Green (< -60),Live Strong Dot (Today),34.43,0.05205941390536733,9.545,0.91,0.18611,0.0934,Consumer Cyclical
GGG,64.0,41.6,86.3,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),76.7,0.04329022284322984,16.246,0.0,0.29729,0.12705,Industrials
CL,64.0,45.3,82.6,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),86.8,0.04936056920787941,15.412,1.29,0.20966,0.15838,Consumer Defensive
OC,63.7,81.6,45.8,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),131.9,0.08530090549716553,8.113,2.82,0.17816,0.05787,Industrials
MIDD,63.7,81.6,45.8,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),108.31,0.12174998978434441,9.682,2.62,0.17361,0.059299998,Industrials
CENTA,63.2,90.0,36.3,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),34.73,0.15803127628593233,7.62,1.22,0.14262,0.043080002,Consumer Defensive
MMM,63.2,57.9,68.4,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),164.97,0.07599720369039925,14.098,1.21,0.20354,0.087419994,Industrials
