Ticker,Composite_Grade,Valuation_Rank,Quality_Rank,Floor Tier,Status,Close Price,FCF_Yield,EV_EBITDA,NetDebt_EBITDA,Op_Margin,ROA,Sector
ZTS,82.2,64.3,100.0,🟢🟢 Deep Floor,Confirmed (Previous),77.1,0.06869998853213569,9.085,1.86,0.40721,0.15352,Healthcare
VRRM,81.2,88.8,73.5,🟢🟢 Deep Floor,Confirmed (Previous),4.43,0.0878944785111818,4.255,2.88,0.27168,0.09162,Technology
LULU,77.6,88.8,66.3,🟢🟢 Deep Floor,Confirmed (Previous),120.26,0.10240957969977564,5.02,0.32,0.13212,0.14401,Consumer Cyclical
ACN,76.1,83.7,68.4,🟢🟢 Deep Floor,Confirmed (Previous),189.76,0.11217852579281072,8.313,0.0,0.16964,0.10903,Technology
ADT,75.5,95.9,55.1,⚪ Standard (< 0),Confirmed (Previous),7.33,0.25611337111479854,4.609,2.87,0.24072,0.051799998,Industrials
CTSH,74.0,78.6,69.4,🟢 Oversold Floor,Confirmed (Previous),64.58,0.08579239634623774,6.657,0.26,0.17479,0.10735,Technology
INTU,68.9,69.4,68.4,🟢🟢 Deep Floor,Confirmed (Previous),359.3,0.08620810772298217,10.939,0.18,0.17638999,0.1047,Technology
VNT,67.8,74.5,61.2,⚪ Standard (< 0),Confirmed (Previous),32.19,0.08167696217378555,8.477,2.38,0.19387,0.0863,Technology
G,65.8,78.6,53.1,🟢 Oversold Floor,Confirmed (Previous),37.78,0.08619813790847802,7.345,1.02,0.15016,0.091759995,Technology
SONY,65.3,99.0,31.6,⚪ Standard (< 0),Confirmed (Previous),24.56,24.3454473436649,0.118,0.0,0.16721001,0.042529996,Technology
BR,64.3,54.1,74.5,🟢 Oversold Floor,Confirmed (Previous),181.26,0.06396816457876514,12.045,1.72,0.24609,0.09295,Technology
CMCSA,64.3,92.9,35.7,🟢 Oversold Floor,Confirmed (Previous),26.62,0.1633121709266125,4.715,2.43,0.17233999,0.043080002,Communication Services
INFY,63.8,42.9,84.7,🟢🟢 Deep Floor,Confirmed (Previous),12.06,0.07443519122338994,18.495,0.0,0.21173,0.15297,Technology
EPAC,63.8,46.9,80.6,🟢 Oversold Floor,Confirmed (Previous),37.32,0.05595578935498986,12.185,0.44,0.2469,0.10475001,Industrials
ADSK,63.3,38.8,87.8,⚪ Standard (< 0),Confirmed (Previous),258.53,0.07214735515665555,18.948,0.0,0.29228002,0.11472999,Technology
EPAM,62.8,87.8,37.8,🟢🟢 Deep Floor,Confirmed (Previous),117.83,0.11644741541869211,6.566,0.0,0.10936,0.08453,Technology
CPRT,60.8,38.8,82.7,🟢🟢 Deep Floor,Confirmed (Previous),32.99,0.034652036603704146,11.261,0.0,0.32011002,0.10268,Industrials
INGR,60.2,78.6,41.8,🟢🟢 Deep Floor,Confirmed (Previous),103.46,0.07496456655569714,6.006,0.72,0.12595001,0.07334,Consumer Defensive
