Ticker,Final_Grade,Floor Tier,Status,Close Price,FCF_Yield,ROA,EV_EBITDA
ABEV,94.0,🟢 Oversold Floor,Confirmed (Previous),3.02,0.42364439605645665,0.10296,1.189
APTV,84.0,🟢🟢 Deep Floor,Live (Unfinished),45.73,0.1701803827886906,0.067150004,4.602
CRUS,80.4,🟢🟢 Deep Floor,Live (Unfinished),110.76,0.08124581828284097,0.12163,9.363
PZZA,77.6,🟢🟢 Deep Floor,Live (Unfinished),22.76,0.07861746254091832,0.077309996,8.496
TTD,77.2,🟢🟢 Deep Floor,Confirmed (Previous),14.43,0.08849688597848607,0.06252,8.208
OLN,68.0,🟢🟢 Deep Floor,Live (Unfinished),17.89,0.15290710159349483,0.01074,8.289
CNM,67.2,🟢🟢 Deep Floor,Live (Unfinished),44.06,0.05134933885126695,0.07221,11.607
AROC,66.0,🟢 Oversold Floor,Live (Unfinished),33.36,0.04125369473036565,0.08123,9.471
SEDG,58.4,🟢 Oversold Floor,Live (Unfinished),36.43,0.050754936780744046,-0.03835,-16.222
HWKN,58.0,🟢🟢 Deep Floor,Confirmed (Previous),129.13,0.030692271592885872,0.07048,8.719
WING,56.0,🟢🟢 Deep Floor,Live (Unfinished),109.45,0.0330667455937246,0.18971,17.605
GPI,54.4,🟢🟢 Deep Floor,Confirmed (Previous),300.76,0.04022579238561928,0.05499,8.907
WSO,52.8,🟢🟢 Deep Floor,Confirmed (Previous),315.13,0.037100686483218015,0.08369,18.129
APP,52.8,🟢🟢 Deep Floor,Live (Unfinished),312.01,0.03033831935050788,0.4646,19.896
SGI,51.4,🟢 Oversold Floor,Confirmed (Previous),69.87,0.04701096534857339,0.05534,16.486
CWEN,49.6,🟢 Oversold Floor,Live (Unfinished),33.11,0.05164632960047711,0.00975,14.742
TNC,46.4,🟢 Oversold Floor,Live (Unfinished),73.46,0.04047094063263245,0.022839999,14.582
PRIM,34.0,🟢 Oversold Floor,Live (Unfinished),75.45,0.01958087703724179,0.029879998,15.753
EVR,33.0,🟢🟢 Deep Floor,Live (Unfinished),295.67,0.0,0.19288999,100.0
PEG,32.4,🟢🟢 Deep Floor,Live (Unfinished),74.24,0.0029119494444126504,0.03238,13.717
WMT,30.4,🟢🟢 Deep Floor,Live (Unfinished),106.05,0.008445510637130591,0.06414,20.878
MIR,26.0,🟢🟢 Deep Floor,Confirmed (Previous),16.93,0.027377297380183744,0.0143,22.446
BWXT,25.4,🟢🟢 Deep Floor,Live (Unfinished),160.41,0.00990837822641441,0.05534,33.264
IPGP,18.0,🟢🟢 Deep Floor,Confirmed (Previous),78.0,0.013390915765390213,0.0097,23.592
WD,6.6,🟢🟢 Deep Floor,Live (Unfinished),41.92,0.0,0.008590001,100.0
